model,resampler,fold,test_subjects,best_params,inner_best_f1,strategy,n_features,n_inner,f1,precision,recall,roc_auc,auprc,train_time_s,pred_time_s,model_size_bytes
LGBM,none,2,"['S08', 'S13', 'f05']","{'n_estimators': 300, 'learning_rate': 0.08, 'max_depth': 10, 'num_leaves': 50}",0.5749133123212251,absolute,49,5,0.5913978494623656,0.6179775280898876,0.5670103092783505,0.7341291372761801,0.6742601425230023,0.7501394748687744,0.01237034797668457,1387476
LGBM,none,3,"['S09', 'S18', 'f15']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 31}",0.5806465461374188,absolute,49,5,0.5955555555555555,0.4962962962962963,0.7444444444444445,0.6636980491942325,0.5815220087165545,0.3982069492340088,0.0067501068115234375,676733
LGBM,none,4,"['S15', 'S17', 'f04']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 50}",0.597156844106622,absolute,49,5,0.4129032258064516,0.5714285714285714,0.32323232323232326,0.5985819735819736,0.5984988554742608,0.6447165012359619,0.008228778839111328,1489732
LGBM,none,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 31}",0.5523195211087509,absolute,49,5,0.5886792452830188,0.5735294117647058,0.6046511627906976,0.5669988925802879,0.5884898932276589,0.5012593269348145,0.007072925567626953,1034104
LGBM,none,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 31}",0.5116681918757181,absolute,49,5,0.7350427350427351,0.7350427350427351,0.7350427350427351,0.762292609351433,0.8176914026938952,0.27764081954956055,0.006522178649902344,624879
LGBM,none,7,"['S03', 'f09', 'f10']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 10, 'num_leaves': 50}",0.5284369114620138,absolute,49,5,0.6139534883720931,0.6055045871559633,0.6226415094339622,0.6777464292011992,0.7013728373560786,0.47845983505249023,0.006002902984619141,933315
LGBM,none,8,"['S04', 'f08', 'f16']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 31}",0.5553799447529452,absolute,49,5,0.5851063829787234,0.6707317073170732,0.5188679245283019,0.6789199739752765,0.6636955060836844,0.42249560356140137,0.013238906860351562,958438
LGBM,none,9,"['S16', 'f02', 'f11']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 31}",0.5803566827286375,absolute,49,5,0.5089285714285714,0.4523809523809524,0.5816326530612245,0.5131076820972291,0.4548537377073302,0.2820887565612793,0.006002187728881836,679765
LGBM,none,10,"['S06', 'f06', 'f18']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 31}",0.5471235800083958,absolute,49,5,0.6069651741293532,0.6421052631578947,0.5754716981132075,0.6693233571893299,0.6154257528914195,0.6788256168365479,0.008120536804199219,968953
LGBM,RandomUnder,1,"['S07', 'S10', 'f12']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 31}",0.5839256275975191,absolute,49,5,0.39285714285714285,0.4925373134328358,0.32673267326732675,0.5865228313876164,0.5204997147923044,0.28966498374938965,0.0077631473541259766,642682
