model,resampler,select_k,fold,test_subjects,best_params,inner_best_f1,strategy,n_features,n_inner,f1,precision,recall,roc_auc,auprc,train_time_s,pred_time_s,model_size_bytes
RF,none,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 200, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5786167614365961,absolute,49,5,0.3443708609271523,0.52,0.25742574257425743,0.5444066794739175,0.4852590494964414,0.882305383682251,0.1492910385131836,4986701
RF,none,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5696794469458214,absolute,49,5,0.625,0.5855855855855856,0.6701030927835051,0.7411053406712658,0.642596128495071,1.165696382522583,0.17357921600341797,6460474
RF,none,all,3,"['S09', 'S18', 'f15']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 2}",0.565846503629637,absolute,49,5,0.5701754385964912,0.47101449275362317,0.7222222222222222,0.6265055131467345,0.5897008859043777,0.8130826950073242,0.12962055206298828,4188777
RF,none,all,4,"['S15', 'S17', 'f04']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 3}",0.5741598693722869,absolute,49,5,0.43137254901960786,0.6111111111111112,0.3333333333333333,0.6452020202020202,0.619320211924648,0.8628535270690918,0.11729550361633301,3684137
RF,none,all,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 3}",0.54177854487111,absolute,49,5,0.5823754789272031,0.5757575757575758,0.5891472868217055,0.534468438538206,0.6132015480123502,0.8131704330444336,0.12945222854614258,3563497
RF,none,all,6,"['S01', 'S05', 'f01']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 2}",0.5175397442508406,absolute,49,5,0.7449392712550608,0.7076923076923077,0.7863247863247863,0.7165912518853695,0.7837810801457044,0.7016029357910156,0.12164068222045898,4283817
RF,none,all,7,"['S03', 'f09', 'f10']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 2}",0.5298082433887007,absolute,49,5,0.5803571428571429,0.5508474576271186,0.6132075471698113,0.6196438017986247,0.6251222978524312,0.8591063022613525,0.1215200424194336,4261097
RF,none,all,8,"['S04', 'f08', 'f16']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 2}",0.5314806952323236,absolute,49,5,0.6666666666666666,0.717391304347826,0.6226415094339622,0.7077911515940143,0.6918741093893982,0.891836404800415,0.15862107276916504,4095817
RF,none,all,9,"['S16', 'f02', 'f11']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 2}",0.5615919725470949,absolute,49,5,0.49327354260089684,0.44,0.5612244897959183,0.4564459930313589,0.41000073158178985,0.7866625785827637,0.12414026260375977,4105577
RF,none,all,10,"['S06', 'f06', 'f18']","{'n_estimators': 200, 'max_features': 0.8, 'min_samples_leaf': 3}",0.561633331729091,absolute,49,5,0.5543478260869565,0.6538461538461539,0.4811320754716981,0.6506180871828237,0.653184773756772,1.136018991470337,0.1447584629058838,4845101
RF,RandomUnder,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5882271607574265,absolute,49,5,0.35,0.4745762711864407,0.27722772277227725,0.5621397960691592,0.48815972822805553,0.7708208560943604,0.12334251403808594,3568031
RF,RandomUnder,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5898614659846382,absolute,49,5,0.6132075471698113,0.5652173913043478,0.6701030927835051,0.7294008216417331,0.6302428950103665,1.3670544624328613,0.23416519165039062,4947308
