model,resampler,select_k,fold,test_subjects,best_params,inner_best_f1,strategy,n_features,f1,precision,recall,roc_auc,auprc,train_time_s,pred_time_s,model_size_bytes
RF,none,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5470585673605861,absolute,49,0.3291139240506329,0.45614035087719296,0.25742574257425743,0.5410078321264963,0.476687626752329,1.1031417846679688,0.198744535446167,3733097
RF,none,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 1}",0.5247537413924468,absolute,49,0.5789473684210527,0.5913978494623656,0.5670103092783505,0.7449034958530346,0.64403180163647,1.5827820301055908,0.35851550102233887,6326676
RF,none,all,3,"['S09', 'S18', 'f15']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 1}",0.5340009493126587,absolute,49,0.5309734513274337,0.4411764705882353,0.6666666666666666,0.6047497879558948,0.5721966119926263,1.6236498355865479,0.23163723945617676,7820805
RF,none,all,4,"['S15', 'S17', 'f04']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 1}",0.537659425341092,absolute,49,0.4230769230769231,0.5789473684210527,0.3333333333333333,0.6619560994560995,0.6345414811163043,1.206463098526001,0.1760883331298828,4566129
RF,none,all,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5604632845069989,absolute,49,0.5433070866141733,0.552,0.5348837209302325,0.5191029900332226,0.5819153983987709,1.3686714172363281,0.21314334869384766,4796461
RF,none,all,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 3}",0.4970067926004681,absolute,49,0.7449392712550608,0.7076923076923077,0.7863247863247863,0.7271995977878332,0.7867324564343584,1.4401049613952637,0.22301483154296875,5007661
RF,none,all,7,"['S03', 'f09', 'f10']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5398497537291,absolute,49,0.5853658536585366,0.6060606060606061,0.5660377358490566,0.6398342444013402,0.6423250580685862,1.0171139240264893,0.1634533405303955,3827337
RF,none,all,8,"['S04', 'f08', 'f16']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5280184970692439,absolute,49,0.6288659793814433,0.6931818181818182,0.5754716981132075,0.7027081977878985,0.691915700936441,1.0278091430664062,0.16324591636657715,3686857
RF,none,all,9,"['S16', 'f02', 'f11']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 2}",0.5551031724709643,absolute,49,0.4796380090497738,0.43089430894308944,0.5408163265306123,0.47652231624357055,0.42412869977031287,1.2450916767120361,0.23323535919189453,6974234
RF,none,all,10,"['S06', 'f06', 'f18']","{'n_estimators': 250, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5371748376514036,absolute,49,0.5957446808510638,0.6829268292682927,0.5283018867924528,0.6452504879635653,0.6249936098634309,1.1379883289337158,0.16534161567687988,6159674
XGB,none,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 300, 'learning_rate': 0.08, 'max_depth': 10, 'subsample': 1.0}",0.5635355593532602,absolute,49,0.40236686390532544,0.5,0.33663366336633666,0.6039603960396039,0.5240200548431904,1.8332748413085938,0.018558263778686523,1047514
XGB,none,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 0.9}",0.5397217576234624,absolute,49,0.6372549019607843,0.6074766355140186,0.6701030927835051,0.7511045655375553,0.6475787797707157,0.9792077541351318,0.01100778579711914,755695
